X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6300, 8450, 10, 219.582, ant1_route3_0000.png
6293.63, 8442.29, 10, 219.582, ant1_route3_0001.png
6287.29, 8434.56, 10, 219.32, ant1_route3_0002.png
6280.99, 8426.79, 10, 219.028, ant1_route3_0003.png
6274.74, 8418.99, 10, 218.711, ant1_route3_0004.png
6268.53, 8411.14, 10, 218.359, ant1_route3_0005.png
6262.38, 8403.26, 10, 217.968, ant1_route3_0006.png
6256.29, 8395.33, 10, 217.542, ant1_route3_0007.png
6250.26, 8387.35, 10, 217.056, ant1_route3_0008.png
6244.31, 8379.31, 10, 216.507, ant1_route3_0009.png
6238.45, 8371.21, 10, 215.882, ant1_route3_0010.png
6232.69, 8363.04, 10, 215.172, ant1_route3_0011.png
6227.05, 8354.78, 10, 214.337, ant1_route3_0012.png
6221.55, 8346.43, 10, 213.364, ant1_route3_0013.png
6216.22, 8337.97, 10, 212.197, ant1_route3_0014.png
6211.1, 8329.38, 10, 210.789, ant1_route3_0015.png
6206.25, 8320.63, 10, 209.041, ant1_route3_0016.png
6201.73, 8311.71, 10, 206.817, ant1_route3_0017.png
6197.68, 8302.57, 10, 203.91, ant1_route3_0018.png
6194.27, 8293.17, 10, 199.931, ant1_route3_0019.png
6191.8, 8283.48, 10, 194.262, ant1_route3_0020.png
6190.8, 8273.53, 10, 185.766, ant1_route3_0021.png
6192.04, 8263.61, 10, 155.257, ant1_route3_0022.png
6196.25, 8254.54, 10, 137.098, ant1_route3_0023.png
6203.07, 8247.23, 10, 123.461, ant1_route3_0024.png
6211.42, 8241.73, 10, 114.793, ant1_route3_0025.png
6220.51, 8237.55, 10, 109.479, ant1_route3_0026.png
6229.93, 8234.22, 10, 106.226, ant1_route3_0027.png
6239.54, 8231.43, 10, 104.266, ant1_route3_0028.png
6249.23, 8228.97, 10, 103.191, ant1_route3_0029.png
6258.97, 8226.69, 10, 102.749, ant1_route3_0030.png
6268.72, 8224.48, 10, 102.782, ant1_route3_0031.png
6278.47, 8222.27, 10, 103.207, ant1_route3_0032.png
6288.21, 8219.98, 10, 103.973, ant1_route3_0033.png
6297.91, 8217.57, 10, 105.012, ant1_route3_0034.png
6307.57, 8214.97, 10, 106.333, ant1_route3_0035.png
6317.16, 8212.16, 10, 107.895, ant1_route3_0036.png
6326.68, 8209.08, 10, 109.702, ant1_route3_0037.png
6336.09, 8205.71, 10, 111.729, ant1_route3_0038.png
6345.38, 8202, 10, 113.974, ant1_route3_0039.png
6354.51, 8197.93, 10, 116.277, ant1_route3_0040.png
6363.48, 8193.5, 10, 118.486, ant1_route3_0041.png
6372.27, 8188.73, 10, 120.611, ant1_route3_0042.png
6380.87, 8183.63, 10, 122.663, ant1_route3_0043.png
6389.29, 8178.23, 10, 124.645, ant1_route3_0044.png
6397.51, 8172.54, 10, 126.568, ant1_route3_0045.png
6405.54, 8166.58, 10, 128.451, ant1_route3_0046.png
6413.37, 8160.36, 10, 130.283, ant1_route3_0047.png
6421, 8153.89, 10, 132.088, ant1_route3_0048.png
6428.41, 8147.19, 10, 133.87, ant1_route3_0049.png
6435.62, 8140.25, 10, 135.622, ant1_route3_0050.png
6442.61, 8133.1, 10, 137.369, ant1_route3_0051.png
6449.38, 8125.74, 10, 139.1, ant1_route3_0052.png
6455.93, 8118.18, 10, 140.83, ant1_route3_0053.png
6462.24, 8110.43, 10, 142.567, ant1_route3_0054.png
6468.32, 8102.49, 10, 144.3, ant1_route3_0055.png
6474.15, 8094.36, 10, 146.05, ant1_route3_0056.png
6479.73, 8086.07, 10, 147.819, ant1_route3_0057.png
6485.05, 8077.6, 10, 149.603, ant1_route3_0058.png
6490.11, 8068.97, 10, 151.409, ant1_route3_0059.png
6494.89, 8060.19, 10, 153.247, ant1_route3_0060.png
6499.39, 8051.26, 10, 155.124, ant1_route3_0061.png
6503.6, 8042.19, 10, 157.059, ant1_route3_0062.png
6507.49, 8032.98, 10, 159.059, ant1_route3_0063.png
6511.06, 8023.64, 10, 161.125, ant1_route3_0064.png
6514.29, 8014.17, 10, 163.232, ant1_route3_0065.png
6517.17, 8004.6, 10, 165.383, ant1_route3_0066.png
6519.69, 7994.92, 10, 167.543, ant1_route3_0067.png
6521.85, 7985.15, 10, 169.725, ant1_route3_0068.png
6523.63, 7975.31, 10, 171.893, ant1_route3_0069.png
6525.03, 7965.41, 10, 174.05, ant1_route3_0070.png
6526.07, 7955.47, 10, 176.172, ant1_route3_0071.png
6526.73, 7945.49, 10, 178.257, ant1_route3_0072.png
6527.03, 7935.49, 10, 180.292, ant1_route3_0073.png
6526.98, 7925.49, 10, 182.268, ant1_route3_0074.png
6526.58, 7915.5, 10, 184.181, ant1_route3_0075.png
6525.85, 7905.53, 10, 186.024, ant1_route3_0076.png
6524.79, 7895.58, 10, 187.801, ant1_route3_0077.png
6523.43, 7885.68, 10, 189.5, ant1_route3_0078.png
6521.78, 7875.82, 10, 191.129, ant1_route3_0079.png
6519.85, 7866, 10, 192.683, ant1_route3_0080.png
6517.65, 7856.25, 10, 194.164, ant1_route3_0081.png
6515.2, 7846.55, 10, 195.575, ant1_route3_0082.png
6512.51, 7836.92, 10, 196.919, ant1_route3_0083.png
6509.6, 7827.35, 10, 198.197, ant1_route3_0084.png
6506.48, 7817.85, 10, 199.41, ant1_route3_0085.png
6503.15, 7808.42, 10, 200.569, ant1_route3_0086.png
6499.64, 7799.06, 10, 201.655, ant1_route3_0087.png
6495.95, 7789.77, 10, 202.648, ant1_route3_0088.png
6492.09, 7780.54, 10, 203.54, ant1_route3_0089.png
6488.1, 7771.37, 10, 204.361, ant1_route3_0090.png
6483.97, 7762.26, 10, 205.106, ant1_route3_0091.png
6479.73, 7753.21, 10, 205.783, ant1_route3_0092.png
6475.38, 7744.2, 10, 206.405, ant1_route3_0093.png
6470.93, 7735.25, 10, 206.978, ant1_route3_0094.png
6466.4, 7726.34, 10, 207.506, ant1_route3_0095.png
6461.78, 7717.47, 10, 207.988, ant1_route3_0096.png
6457.08, 7708.64, 10, 208.427, ant1_route3_0097.png
6452.32, 7699.84, 10, 208.841, ant1_route3_0098.png
6447.5, 7691.08, 10, 209.213, ant1_route3_0099.png
6442.62, 7682.35, 10, 209.562, ant1_route3_0100.png
6437.68, 7673.66, 10, 209.878, ant1_route3_0101.png
6432.7, 7664.99, 10, 210.174, ant1_route3_0102.png
6427.67, 7656.34, 10, 210.437, ant1_route3_0103.png
6422.61, 7647.72, 10, 210.685, ant1_route3_0104.png
6417.51, 7639.12, 10, 210.906, ant1_route3_0105.png
6412.37, 7630.54, 10, 211.109, ant1_route3_0106.png
6407.2, 7621.98, 10, 211.295, ant1_route3_0107.png
6402.01, 7613.43, 10, 211.457, ant1_route3_0108.png
6396.79, 7604.9, 10, 211.606, ant1_route3_0109.png
6391.55, 7596.39, 10, 211.736, ant1_route3_0110.png
6386.29, 7587.88, 10, 211.849, ant1_route3_0111.png
6381.01, 7579.39, 10, 211.947, ant1_route3_0112.png
6375.72, 7570.9, 10, 212.029, ant1_route3_0113.png
6370.42, 7562.42, 10, 212.094, ant1_route3_0114.png
6365.1, 7553.95, 10, 212.145, ant1_route3_0115.png
6359.78, 7545.48, 10, 212.18, ant1_route3_0116.png
6354.46, 7537.02, 10, 212.204, ant1_route3_0117.png
6349.13, 7528.56, 10, 212.208, ant1_route3_0118.png
6343.8, 7520.1, 10, 212.201, ant1_route3_0119.png
6338.47, 7511.64, 10, 212.177, ant1_route3_0120.png
6333.14, 7503.17, 10, 212.138, ant1_route3_0121.png
6327.82, 7494.71, 10, 212.084, ant1_route3_0122.png
6322.51, 7486.23, 10, 212.016, ant1_route3_0123.png
6317.21, 7477.75, 10, 211.929, ant1_route3_0124.png
6311.92, 7469.27, 10, 211.929, ant1_route3_0125.png
6306.65, 7460.77, 10, 211.828, ant1_route3_0126.png
6301.39, 7452.26, 10, 211.704, ant1_route3_0127.png
6296.16, 7443.74, 10, 211.57, ant1_route3_0128.png
6290.94, 7435.21, 10, 211.421, ant1_route3_0129.png
6285.75, 7426.66, 10, 211.27, ant1_route3_0130.png
6280.59, 7418.1, 10, 211.107, ant1_route3_0131.png
6275.45, 7409.52, 10, 210.943, ant1_route3_0132.png
6270.33, 7400.93, 10, 210.766, ant1_route3_0133.png
6265.24, 7392.32, 10, 210.584, ant1_route3_0134.png
6260.18, 7383.7, 10, 210.395, ant1_route3_0135.png
6255.15, 7375.05, 10, 210.188, ant1_route3_0136.png
