X [mm], Y [mm], Z [mm], Heading [degrees], Filename
-158.586, -227.704, 10, 0, world5000_grid_-0159_-0228_00010.png
-58.586, -227.704, 10, 0, world5000_grid_-0059_-0228_00010.png
41.414, -227.704, 10, 0, world5000_grid_00041_-0228_00010.png
141.414, -227.704, 10, 0, world5000_grid_00141_-0228_00010.png
241.414, -227.704, 10, 0, world5000_grid_00241_-0228_00010.png
341.414, -227.704, 10, 0, world5000_grid_00341_-0228_00010.png
441.414, -227.704, 10, 0, world5000_grid_00441_-0228_00010.png
541.414, -227.704, 10, 0, world5000_grid_00541_-0228_00010.png
641.414, -227.704, 10, 0, world5000_grid_00641_-0228_00010.png
741.414, -227.704, 10, 0, world5000_grid_00741_-0228_00010.png
841.414, -227.704, 10, 0, world5000_grid_00841_-0228_00010.png
941.414, -227.704, 10, 0, world5000_grid_00941_-0228_00010.png
1041.41, -227.704, 10, 0, world5000_grid_01041_-0228_00010.png
1141.41, -227.704, 10, 0, world5000_grid_01141_-0228_00010.png
1241.41, -227.704, 10, 0, world5000_grid_01241_-0228_00010.png
1341.41, -227.704, 10, 0, world5000_grid_01341_-0228_00010.png
1441.41, -227.704, 10, 0, world5000_grid_01441_-0228_00010.png
1541.41, -227.704, 10, 0, world5000_grid_01541_-0228_00010.png
1641.41, -227.704, 10, 0, world5000_grid_01641_-0228_00010.png
1741.41, -227.704, 10, 0, world5000_grid_01741_-0228_00010.png
1841.41, -227.704, 10, 0, world5000_grid_01841_-0228_00010.png
1941.41, -227.704, 10, 0, world5000_grid_01941_-0228_00010.png
2041.41, -227.704, 10, 0, world5000_grid_02041_-0228_00010.png
2141.41, -227.704, 10, 0, world5000_grid_02141_-0228_00010.png
2241.41, -227.704, 10, 0, world5000_grid_02241_-0228_00010.png
2341.41, -227.704, 10, 0, world5000_grid_02341_-0228_00010.png
2441.41, -227.704, 10, 0, world5000_grid_02441_-0228_00010.png
2541.41, -227.704, 10, 0, world5000_grid_02541_-0228_00010.png
2641.41, -227.704, 10, 0, world5000_grid_02641_-0228_00010.png
2741.41, -227.704, 10, 0, world5000_grid_02741_-0228_00010.png
2841.41, -227.704, 10, 0, world5000_grid_02841_-0228_00010.png
2941.41, -227.704, 10, 0, world5000_grid_02941_-0228_00010.png
3041.41, -227.704, 10, 0, world5000_grid_03041_-0228_00010.png
3141.41, -227.704, 10, 0, world5000_grid_03141_-0228_00010.png
3241.41, -227.704, 10, 0, world5000_grid_03241_-0228_00010.png
3341.41, -227.704, 10, 0, world5000_grid_03341_-0228_00010.png
3441.41, -227.704, 10, 0, world5000_grid_03441_-0228_00010.png
3541.41, -227.704, 10, 0, world5000_grid_03541_-0228_00010.png
