,x [cm],y [cm],heading [degs],filename
0,0,0,-90,0_0.jpg
1,0,40,-90,0_40.jpg
2,0,80,-90,0_80.jpg
3,0,120,-90,0_120.jpg
4,0,160,-90,0_160.jpg
5,0,200,-90,0_200.jpg
6,0,240,-90,0_240.jpg
7,0,280,-90,0_280.jpg
8,0,320,-90,0_320.jpg
9,0,360,-90,0_360.jpg
10,0,400,-90,0_400.jpg
11,0,440,-90,0_440.jpg
12,0,480,-90,0_480.jpg
13,0,520,-90,0_520.jpg
14,0,560,-90,0_560.jpg
15,40,0,-90,40_0.jpg
16,40,40,-90,40_40.jpg
17,40,80,-90,40_80.jpg
18,40,120,-90,40_120.jpg
19,40,160,-90,40_160.jpg
20,40,200,-90,40_200.jpg
21,40,240,-90,40_240.jpg
22,40,280,-90,40_280.jpg
23,40,320,-90,40_320.jpg
24,40,360,-90,40_360.jpg
25,40,400,-90,40_400.jpg
26,40,440,-90,40_440.jpg
27,40,480,-90,40_480.jpg
28,40,520,-90,40_520.jpg
29,40,560,-90,40_560.jpg
30,80,0,-90,80_0.jpg
31,80,40,-90,80_40.jpg
32,80,80,-90,80_80.jpg
33,80,120,-90,80_120.jpg
34,80,160,-90,80_160.jpg
35,80,200,-90,80_200.jpg
36,80,240,-90,80_240.jpg
37,80,280,-90,80_280.jpg
38,80,320,-90,80_320.jpg
39,80,360,-90,80_360.jpg
40,80,400,-90,80_400.jpg
41,80,440,-90,80_440.jpg
42,80,480,-90,80_480.jpg
43,80,520,-90,80_520.jpg
44,80,560,-90,80_560.jpg
45,120,0,-90,120_0.jpg
46,120,40,-90,120_40.jpg
47,120,80,-90,120_80.jpg
48,120,120,-90,120_120.jpg
49,120,160,-90,120_160.jpg
50,120,200,-90,120_200.jpg
51,120,240,-90,120_240.jpg
52,120,280,-90,120_280.jpg
53,120,320,-90,120_320.jpg
54,120,360,-90,120_360.jpg
55,120,400,-90,120_400.jpg
56,120,440,-90,120_440.jpg
57,120,480,-90,120_480.jpg
