X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
0,0,0,90,0_0_horizon.png,0,0,0
0,1200,1,90,0_40_horizon.png,0,1,1
0,2400,2,90,0_80_horizon.png,0,2,2
0,3600,3,90,0_120_horizon.png,0,3,3
0,4800,4,90,0_160_horizon.png,0,4,4
0,6000,5,90,0_200_horizon.png,0,5,5
0,7200,6,90,0_240_horizon.png,0,6,6
0,8400,7,90,0_280_horizon.png,0,7,7
0,9600,8,90,0_320_horizon.png,0,8,8
0,10800,9,90,0_360_horizon.png,0,9,9
0,12000,10,90,0_400_horizon.png,0,10,10
0,13200,11,90,0_440_horizon.png,0,11,11
0,14400,12,90,0_480_horizon.png,0,12,12
0,15600,13,90,0_520_horizon.png,0,13,13
0,16800,14,90,0_560_horizon.png,0,14,14
1200,0,15,90,40_0_horizon.png,1,0,15
1200,1200,16,90,40_40_horizon.png,1,1,16
1200,2400,17,90,40_80_horizon.png,1,2,17
1200,3600,18,90,40_120_horizon.png,1,3,18
1200,4800,19,90,40_160_horizon.png,1,4,19
1200,6000,20,90,40_200_horizon.png,1,5,20
1200,7200,21,90,40_240_horizon.png,1,6,21
1200,8400,22,90,40_280_horizon.png,1,7,22
1200,9600,23,90,40_320_horizon.png,1,8,23
1200,10800,24,90,40_360_horizon.png,1,9,24
1200,12000,25,90,40_400_horizon.png,1,10,25
1200,13200,26,90,40_440_horizon.png,1,11,26
1200,14400,27,90,40_480_horizon.png,1,12,27
1200,15600,28,90,40_520_horizon.png,1,13,28
1200,16800,29,90,40_560_horizon.png,1,14,29
2400,0,30,90,80_0_horizon.png,2,0,30
2400,1200,31,90,80_40_horizon.png,2,1,31
2400,2400,32,90,80_80_horizon.png,2,2,32
2400,3600,33,90,80_120_horizon.png,2,3,33
2400,4800,34,90,80_160_horizon.png,2,4,34
2400,6000,35,90,80_200_horizon.png,2,5,35
2400,7200,36,90,80_240_horizon.png,2,6,36
2400,8400,37,90,80_280_horizon.png,2,7,37
2400,9600,38,90,80_320_horizon.png,2,8,38
2400,10800,39,90,80_360_horizon.png,2,9,39
2400,12000,40,90,80_400_horizon.png,2,10,40
2400,13200,41,90,80_440_horizon.png,2,11,41
2400,14400,42,90,80_480_horizon.png,2,12,42
2400,15600,43,90,80_520_horizon.png,2,13,43
2400,16800,44,90,80_560_horizon.png,2,14,44
3600,0,45,90,120_0_horizon.png,3,0,45
3600,1200,46,90,120_40_horizon.png,3,1,46
3600,2400,47,90,120_80_horizon.png,3,2,47
3600,3600,48,90,120_120_horizon.png,3,3,48
3600,4800,49,90,120_160_horizon.png,3,4,49
3600,6000,50,90,120_200_horizon.png,3,5,50
3600,7200,51,90,120_240_horizon.png,3,6,51
3600,8400,52,90,120_280_horizon.png,3,7,52
3600,9600,53,90,120_320_horizon.png,3,8,53
3600,10800,54,90,120_360_horizon.png,3,9,54
3600,12000,55,90,120_400_horizon.png,3,10,55
3600,13200,56,90,120_440_horizon.png,3,11,56
3600,14400,57,90,120_480_horizon.png,3,12,57
3600,15600,58,90,120_520_horizon.png,3,13,58
3600,16800,59,90,120_560_horizon.png,3,14,59
4800,0,60,90,160_0_horizon.png,4,0,60
4800,1200,61,90,160_40_horizon.png,4,1,61
4800,2400,62,90,160_80_horizon.png,4,2,62
4800,3600,63,90,160_120_horizon.png,4,3,63
4800,4800,64,90,160_160_horizon.png,4,4,64
4800,6000,65,90,160_200_horizon.png,4,5,65
4800,7200,66,90,160_240_horizon.png,4,6,66
4800,8400,67,90,160_280_horizon.png,4,7,67
4800,9600,68,90,160_320_horizon.png,4,8,68
4800,10800,69,90,160_360_horizon.png,4,9,69
4800,12000,70,90,160_400_horizon.png,4,10,70
4800,13200,71,90,160_440_horizon.png,4,11,71
4800,14400,72,90,160_480_horizon.png,4,12,72
4800,15600,73,90,160_520_horizon.png,4,13,73
4800,16800,74,90,160_560_horizon.png,4,14,74
6000,0,75,90,200_0_horizon.png,5,0,75
6000,1200,76,90,200_40_horizon.png,5,1,76
6000,2400,77,90,200_80_horizon.png,5,2,77
6000,3600,78,90,200_120_horizon.png,5,3,78
6000,4800,79,90,200_160_horizon.png,5,4,79
6000,6000,80,90,200_200_horizon.png,5,5,80
6000,7200,81,90,200_240_horizon.png,5,6,81
6000,8400,82,90,200_280_horizon.png,5,7,82
6000,9600,83,90,200_320_horizon.png,5,8,83
6000,10800,84,90,200_360_horizon.png,5,9,84
6000,12000,85,90,200_400_horizon.png,5,10,85
6000,13200,86,90,200_440_horizon.png,5,11,86
6000,14400,87,90,200_480_horizon.png,5,12,87
6000,15600,88,90,200_520_horizon.png,5,13,88
6000,16800,89,90,200_560_horizon.png,5,14,89
7200,0,90,90,240_0_horizon.png,6,0,90
7200,1200,91,90,240_40_horizon.png,6,1,91
7200,2400,92,90,240_80_horizon.png,6,2,92
7200,3600,93,90,240_120_horizon.png,6,3,93
7200,4800,94,90,240_160_horizon.png,6,4,94
7200,6000,95,90,240_200_horizon.png,6,5,95
7200,7200,96,90,240_240_horizon.png,6,6,96
7200,8400,97,90,240_280_horizon.png,6,7,97
7200,9600,98,90,240_320_horizon.png,6,8,98
7200,10800,99,90,240_360_horizon.png,6,9,99
7200,12000,100,90,240_400_horizon.png,6,10,100
7200,13200,101,90,240_440_horizon.png,6,11,101
7200,14400,102,90,240_480_horizon.png,6,12,102
7200,15600,103,90,240_520_horizon.png,6,13,103
7200,16800,104,90,240_560_horizon.png,6,14,104
8400,0,105,90,280_0_horizon.png,7,0,105
8400,1200,106,90,280_40_horizon.png,7,1,106
8400,2400,107,90,280_80_horizon.png,7,2,107
8400,3600,108,90,280_120_horizon.png,7,3,108
8400,4800,109,90,280_160_horizon.png,7,4,109
8400,6000,110,90,280_200_horizon.png,7,5,110
8400,7200,111,90,280_240_horizon.png,7,6,111
8400,8400,112,90,280_280_horizon.png,7,7,112
8400,9600,113,90,280_320_horizon.png,7,8,113
8400,10800,114,90,280_360_horizon.png,7,9,114
8400,12000,115,90,280_400_horizon.png,7,10,115
8400,13200,116,90,280_440_horizon.png,7,11,116
8400,14400,117,90,280_480_horizon.png,7,12,117
8400,15600,118,90,280_520_horizon.png,7,13,118
8400,16800,119,90,280_560_horizon.png,7,14,119
9600,0,120,90,320_0_horizon.png,8,0,120
9600,1200,121,90,320_40_horizon.png,8,1,121
9600,2400,122,90,320_80_horizon.png,8,2,122
9600,3600,123,90,320_120_horizon.png,8,3,123
9600,4800,124,90,320_160_horizon.png,8,4,124
9600,6000,125,90,320_200_horizon.png,8,5,125
9600,7200,126,90,320_240_horizon.png,8,6,126
9600,8400,127,90,320_280_horizon.png,8,7,127
9600,9600,128,90,320_320_horizon.png,8,8,128
9600,10800,129,90,320_360_horizon.png,8,9,129
