X [mm], Y [mm], Z [mm], Heading [degrees], Filename
6510.25371,15391.28204,0,-131.580275510586,unwrapped_0.jpg
6515.05245,15368.00692,0,-131.580275510586,unwrapped_1.jpg
6517.70916,15385.45644,0,-131.580275510586,unwrapped_2.jpg
6502.13568,15471.99168,0,-131.580275510586,unwrapped_3.jpg
6525.24726,15348.24872,0,-131.580275510586,unwrapped_4.jpg
6504.63795,15492.07636,0,-131.580275510586,unwrapped_5.jpg
6510.42276,15427.68192,0,-131.580275510586,unwrapped_6.jpg
6511.74459,15420.57328,0,-131.580275510586,unwrapped_7.jpg
6511.67934,15373.76036,0,-131.580275510586,unwrapped_8.jpg
6535.65945,15269.83368,0,-131.580275510586,unwrapped_9.jpg
6516.60744,15345.12076,0,-131.580275510586,unwrapped_10.jpg
6504.60636,15446.71896,0,-131.580275510586,unwrapped_11.jpg
6506.64564,15430.02888,0,-131.580275510586,unwrapped_12.jpg
6507.99018,15414.155,0,-131.580275510586,unwrapped_13.jpg
6509.63832,15408.33116,0,-131.580275510586,unwrapped_14.jpg
6508.8441,15388.66668,0,-131.580275510586,unwrapped_15.jpg
6515.34807,15397.2854,0,-131.580275510586,unwrapped_16.jpg
6514.56174,15307.9346,0,-131.580275510586,unwrapped_17.jpg
6523.3245,15265.32632,0,-131.580275510586,unwrapped_18.jpg
6521.4957,15267.6152,0,-131.580275510586,unwrapped_19.jpg
6508.3233,15339.2186,0,-131.580275510586,unwrapped_20.jpg
6515.07528,15362.31244,0,-131.580275510586,unwrapped_21.jpg
6513.04857,15384.14612,0,-131.580275510586,unwrapped_22.jpg
6514.05324,15403.0538,0,-131.580275510586,unwrapped_23.jpg
6520.43421,15285.21256,0,-131.580275510586,unwrapped_24.jpg
6510.28704,15338.0482,0,-131.580275510586,unwrapped_25.jpg
6506.47335,15377.64292,0,-131.580275510586,unwrapped_26.jpg
6503.41152,15329.68468,0,-131.580275510586,unwrapped_27.jpg
6516.59148,15235.9132,0,-131.580275510586,unwrapped_28.jpg
6510.73359,15275.53608,0,-131.580275510586,unwrapped_29.jpg
6502.7982,15401.63348,0,-131.580275510586,unwrapped_30.jpg
6506.11917,15390.00032,0,-131.580275510586,unwrapped_31.jpg
6497.5203,15371.06888,0,-131.580275510586,unwrapped_32.jpg
6511.64133,15323.42744,0,-131.580275510586,unwrapped_33.jpg
6499.98402,15340.41496,0,-131.580275510586,unwrapped_34.jpg
6508.75272,15297.58316,0,-131.580275510586,unwrapped_35.jpg
6501.9051,15365.69296,0,-131.580275510586,unwrapped_36.jpg
6516.18723,15298.413,0,-131.580275510586,unwrapped_37.jpg
6516.20463,15311.6086,0,-131.580275510586,unwrapped_38.jpg
6496.10652,15422.37244,0,-131.580275510586,unwrapped_39.jpg
6507.74517,15307.29308,0,-131.580275510586,unwrapped_40.jpg
6516.73035,15350.01708,0,-131.580275510586,unwrapped_41.jpg
6521.0655,15319.71912,0,-131.580275510586,unwrapped_42.jpg
6519.52146,15320.94144,0,-131.580275510586,unwrapped_43.jpg
6502.37685,15389.38476,0,-131.580275510586,unwrapped_44.jpg
6517.41858,15309.46668,0,-131.580275510586,unwrapped_45.jpg
6518.95815,15295.8918,0,-131.580275510586,unwrapped_46.jpg
6531.59202,15303.86328,0,-131.580275510586,unwrapped_47.jpg
6532.00395,15229.52968,0,-131.580275510586,unwrapped_48.jpg
6534.78249,15285.25392,0,-131.580275510586,unwrapped_49.jpg
6531.39321,15288.68372,0,-131.580275510586,unwrapped_50.jpg
6534.48081,15250.10408,0,-131.580275510586,unwrapped_51.jpg
6525.30222,15382.48028,0,-131.580275510586,unwrapped_52.jpg
6529.86798,15273.1548,0,-131.580275510586,unwrapped_53.jpg
6529.58694,15253.84056,0,-131.580275510586,unwrapped_54.jpg
6522.73371,15277.13812,0,-131.580275510586,unwrapped_55.jpg
6519.56865,15264.7398,0,-131.580275510586,unwrapped_56.jpg
6504.1365,15399.47528,0,-131.580275510586,unwrapped_57.jpg
