X [mm], Y [mm], Z [mm], Heading [degrees], Filename
4731.266864,8760.10664,0,-97.2911521396317,0.jpg
4730.48858,8771.68632,0,-97.2911521396317,1.jpg
4736.4717,8744.96004,0,-97.2911521396317,2.jpg
4722.2627,8762.01792,0,-97.2911521396317,3.jpg
4731.04433,8765.39696,0,-97.2911521396317,4.jpg
4728.875644,8773.44584,0,-97.2911521396317,5.jpg
4720.932722,8812.41316,0,-97.2911521396317,6.jpg
4711.26964,8821.8206,0,-97.2911521396317,7.jpg
4720.514278,8781.68036,0,-97.2911521396317,8.jpg
4738.38842,8748.08736,0,-97.2911521396317,9.jpg
4728.4923,8789.02812,0,-97.2911521396317,10.jpg
4736.86066,8748.4578,0,-97.2911521396317,11.jpg
4734.28484,8753.20604,0,-97.2911521396317,12.jpg
4727.38782,8764.12716,0,-97.2911521396317,13.jpg
4717.01096,8804.19152,0,-97.2911521396317,14.jpg
4736.04062,8747.13452,0,-97.2911521396317,15.jpg
4724.82422,8774.60644,0,-97.2911521396317,16.jpg
4713.15854,8806.13164,0,-97.2911521396317,17.jpg
4716.49642,8809.66244,0,-97.2911521396317,18.jpg
4730.195404,8762.00168,0,-97.2911521396317,19.jpg
4725.355296,8766.9028,0,-97.2911521396317,20.jpg
4713.49706,8811.30072,0,-97.2911521396317,21.jpg
4727.29656,8767.74504,0,-97.2911521396317,22.jpg
4710.58558,8820.49564,0,-97.2911521396317,23.jpg
4690.52905,8871.45732,0,-97.2911521396317,24.jpg
4693.924,8856.31268,0,-97.2911521396317,25.jpg
4714.61454,8799.3408,0,-97.2911521396317,26.jpg
4727.517482,8765.61256,0,-97.2911521396317,27.jpg
4725.0447,8764.9218,0,-97.2911521396317,28.jpg
4721.02276,8783.84364,0,-97.2911521396317,29.jpg
4717.859002,8809.12988,0,-97.2911521396317,30.jpg
4731.626704,8766.55,0,-97.2911521396317,31.jpg
4703.57546,8826.94264,0,-97.2911521396317,32.jpg
4704.144418,8831.6136,0,-97.2911521396317,33.jpg
4721.05344,8779.47984,0,-97.2911521396317,34.jpg
4712.98343,8806.04624,0,-97.2911521396317,35.jpg
4715.57446,8788.55296,0,-97.2911521396317,36.jpg
4729.0656,8772.70076,0,-97.2911521396317,37.jpg
4732.84496,8759.45172,0,-97.2911521396317,38.jpg
4717.49651,8806.11176,0,-97.2911521396317,39.jpg
4729.010636,8764.63956,0,-97.2911521396317,40.jpg
4710.48574,8813.2568,0,-97.2911521396317,41.jpg
4727.11768,8768.30168,0,-97.2911521396317,42.jpg
4711.92146,8812.76904,0,-97.2911521396317,43.jpg
4723.94893,8771.247,0,-97.2911521396317,44.jpg
4720.951936,8776.80584,0,-97.2911521396317,45.jpg
4694.777138,8843.94368,0,-97.2911521396317,46.jpg
4723.521516,8773.92548,0,-97.2911521396317,47.jpg
4716.84066,8788.85564,0,-97.2911521396317,48.jpg
4724.19684,8783.54992,0,-97.2911521396317,49.jpg
4715.13831,8790.37436,0,-97.2911521396317,50.jpg
4719.82702,8783.23604,0,-97.2911521396317,51.jpg
4720.59168,8784.03768,0,-97.2911521396317,52.jpg
4733.58362,8758.40704,0,-97.2911521396317,53.jpg
4734.019796,8736.30132,0,-97.2911521396317,54.jpg
4724.61375,8772.90796,0,-97.2911521396317,55.jpg
4728.76868,8776.6258,0,-97.2911521396317,56.jpg
4719.68766,8789.16252,0,-97.2911521396317,57.jpg
4710.88198,8820.28536,0,-97.2911521396317,58.jpg
4710.36276,8802.71116,0,-97.2911521396317,59.jpg
4729.789518,8768.27732,0,-97.2911521396317,60.jpg
4735.3836,8765.83908,0,-97.2911521396317,61.jpg
4734.161444,8759.40104,0,-97.2911521396317,62.jpg
4722.75722,8774.67616,0,-97.2911521396317,63.jpg
4736.53358,8754.61108,0,-97.2911521396317,64.jpg
