X [mm], Y [mm], Z [mm], Heading [degrees], Filename
9241.53956,4509.08324,0,-119.884384188691,unwrapped_0_horizon.png
9240.5198,4500.12572,0,-119.884384188691,unwrapped_1_horizon.png
9234.78092,4497.82364,0,-119.884384188691,unwrapped_2_horizon.png
9227.8162,4477.26002,0,-119.884384188691,unwrapped_3_horizon.png
9229.03784,4490.09086,0,-119.884384188691,unwrapped_4_horizon.png
9223.89676,4481.60964,0,-119.884384188691,unwrapped_5_horizon.png
9220.84812,4474.996176,0,-119.884384188691,unwrapped_6_horizon.png
9219.4218,4473.04768,0,-119.884384188691,unwrapped_7_horizon.png
9219.05892,4485.14328,0,-119.884384188691,unwrapped_8_horizon.png
9210.45704,4451.60648,0,-119.884384188691,unwrapped_9_horizon.png
9209.13292,4460.929068,0,-119.884384188691,unwrapped_10_horizon.png
9209.06208,4468.3762,0,-119.884384188691,unwrapped_11_horizon.png
9205.8614,4452.60726,0,-119.884384188691,unwrapped_12_horizon.png
9202.367,4450.3692,0,-119.884384188691,unwrapped_13_horizon.png
9192.58884,4428.07748,0,-119.884384188691,unwrapped_14_horizon.png
9194.00172,4444.5084,0,-119.884384188691,unwrapped_15_horizon.png
9188.15532,4427.34708,0,-119.884384188691,unwrapped_16_horizon.png
9185.147,4428.20244,0,-119.884384188691,unwrapped_17_horizon.png
9184.52148,4428.975784,0,-119.884384188691,unwrapped_18_horizon.png
9185.55412,4434.38004,0,-119.884384188691,unwrapped_19_horizon.png
9180.14788,4407.600496,0,-119.884384188691,unwrapped_20_horizon.png
9172.96952,4395.21872,0,-119.884384188691,unwrapped_21_horizon.png
9177.75444,4418.47668,0,-119.884384188691,unwrapped_22_horizon.png
9166.85796,4378.71168,0,-119.884384188691,unwrapped_23_horizon.png
9163.51896,4374.74464,0,-119.884384188691,unwrapped_24_horizon.png
9161.8874,4373.86068,0,-119.884384188691,unwrapped_25_horizon.png
9157.01344,4375.53796,0,-119.884384188691,unwrapped_26_horizon.png
9155.83884,4373.83164,0,-119.884384188691,unwrapped_27_horizon.png
9151.88692,4361.43904,0,-119.884384188691,unwrapped_28_horizon.png
9149.08832,4368.000496,0,-119.884384188691,unwrapped_29_horizon.png
9146.46724,4363.918132,0,-119.884384188691,unwrapped_30_horizon.png
9141.09516,4353.29288,0,-119.884384188691,unwrapped_31_horizon.png
